nohup: ignoring input
------------VecMark winemag50k------------
                                 KL Divergence  Average Deviation
Soil_Type18 (int64)                              0.000000           0.000000
Soil_Type19 (int64)                              0.000000           0.000000
Soil_Type20 (int64)                              0.000000           0.000000
Soil_Type21 (int64)                              0.000000           0.000000
Soil_Type22 (int64)                              0.000000           0.000000
Soil_Type23 (int64)                              0.000000           0.000000
Soil_Type24 (int64)                              0.000000           0.000000
Soil_Type25 (int64)                              0.000000           0.000000
Soil_Type26 (int64)                              0.000000           0.000000
Soil_Type27 (int64)                              0.000000           0.000000
Soil_Type28 (int64)                              0.000000           0.000000
Soil_Type29 (int64)                              0.000000           0.000000
Soil_Type30 (int64)                              0.000000           0.000000
Soil_Type31 (int64)                              0.000000           0.000000
Soil_Type32 (int64)                              0.000000           0.000000
Soil_Type33 (int64)                              0.000000           0.000000
Soil_Type34 (int64)                              0.000000           0.000000
Soil_Type35 (int64)                              0.000000           0.000000
Soil_Type36 (int64)                              0.000000           0.000000
Soil_Type37 (int64)                              0.000000           0.000000
Soil_Type38 (int64)                              0.000000           0.000000
Soil_Type39 (int64)                              0.000000           0.000000
Soil_Type40 (int64)                              0.000000           0.000000
Cover_Type (int64)                               0.000000           0.000000
Average                                          0.000033           0.000066
-------------VecMark nfcorpus-------------
                 KL Divergence  Average Deviation
title (object)       0.000000                NaN
text (object)        0.965525                NaN
Average              0.482763                NaN
-------------RRWC FCT100k-------------
                                             KL Divergence  Average Deviation
Elevation (int64)                                0.000943           0.000002
Aspect (int64)                                   0.000000           0.000000
Slope (int64)                                    0.000782           0.000883
Horizontal_Distance_To_Hydrology (int64)         0.002720           0.000069
Vertical_Distance_To_Hydrology (int64)           0.079694           0.000122
Horizontal_Distance_To_Roadways (int64)          0.014870           0.000005
Hillshade_9am (int64)                            0.000000           0.000000
Hillshade_Noon (int64)                           0.000677           0.000055
Hillshade_3pm (int64)                            0.000000           0.000000
Horizontal_Distance_To_Fire_Points (int64)       0.012051           0.000003
Wilderness_Area1 (int64)                         0.000000           0.000000
Wilderness_Area2 (int64)                         0.000000           0.000000
Wilderness_Area3 (int64)                         0.000000           0.000000
Wilderness_Area4 (int64)                         0.000000           0.000000
Soil_Type1 (int64)                               0.000000           0.000000
Soil_Type2 (int64)                               0.000000           0.000000
Soil_Type3 (int64)                               0.000000           0.000000
Soil_Type4 (int64)                               0.000000           0.000000
Soil_Type5 (int64)                               0.000000           0.000000
Soil_Type6 (int64)                               0.000000           0.000000
Soil_Type7 (int64)                               0.000000           0.000000
Soil_Type8 (int64)                               0.000000           0.000000
Soil_Type9 (int64)                               0.000000           0.000000
Soil_Type10 (int64)                              0.000000           0.000000
Soil_Type11 (int64)                              0.000000           0.000000
Soil_Type12 (int64)                              0.000000           0.000000
Soil_Type13 (int64)                              0.000000           0.000000
Soil_Type14 (int64)                              0.000000           0.000000
Soil_Type15 (int64)                              0.000000           0.000000
Soil_Type16 (int64)                              0.000000           0.000000
Soil_Type17 (int64)                              0.000000           0.000000
Soil_Type18 (int64)                              0.000000           0.000000
Soil_Type19 (int64)                              0.000000           0.000000
Soil_Type20 (int64)                              0.000000           0.000000
Soil_Type21 (int64)                              0.000000           0.000000
Soil_Type22 (int64)                              0.000000           0.000000
Soil_Type23 (int64)                              0.000000           0.000000
Soil_Type24 (int64)                              0.000000           0.000000
Soil_Type25 (int64)                              0.000000           0.000000
Soil_Type26 (int64)                              0.000000           0.000000
Soil_Type27 (int64)                              0.000000           0.000000
Soil_Type28 (int64)                              0.000000           0.000000
Soil_Type29 (int64)                              0.000000           0.000000
Soil_Type30 (int64)                              0.000000           0.000000
Soil_Type31 (int64)                              0.000000           0.000000
Soil_Type32 (int64)                              0.000000           0.000000
Soil_Type33 (int64)                              0.000000           0.000000
Soil_Type34 (int64)                              0.000000           0.000000
Soil_Type35 (int64)                              0.000000           0.000000
Soil_Type36 (int64)                              0.000000           0.000000
Soil_Type37 (int64)                              0.000000           0.000000
Soil_Type38 (int64)                              0.000000           0.000000
Soil_Type39 (int64)                              0.000000           0.000000
Soil_Type40 (int64)                              0.000000           0.000000
Cover_Type (int64)                               0.000000           0.000000
Average                                          0.002032           0.000021
-------------RRWC winemag50k-------------
                                 KL Divergence  Average Deviation
points (int64)                       0.027939           0.000412
price (float64)                      1.928392           0.068548
country (object)                    -0.000000                NaN
description (object)                 0.000000                NaN
designation (object)                 0.000000                NaN
province (object)                   -0.000000                NaN
region_1 (object)                   -0.000000                NaN
region_2 (object)                    0.000000                NaN
taster_name (object)                -0.000000                NaN
taster_twitter_handle (object)       0.000000                NaN
title (object)                       0.000000                NaN
variety (object)                     0.000000                NaN
winery (object)                      0.000000                NaN
Average                              0.150487           0.034480
