id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1571,US,"This first showing of the new soil-focused partnership between vintner Bill Price and winemaker Gavin Chanin promises great things. Aromas of cardamom, raspberry, violet, black pepper and herbes de Provence give way to a herbal palate of oregano, thyme, dried basil and sage that give lift to the sour-cherry fruit.",La Rinconada Vineyard,93,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Lutum 2013 La Rinconada Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Lutum
1660,France,"Already with a deep golden color, this single vineyard wine is richly honeyed and dense. It has a viscous texture, ripe with Seville orange marmalade and apricot fruits that are cut by the acidity that gives this wine its lift and its ageability. The wine is delicious now, but don't be too impatient: it will get better and better over many years. So drink from 2020.",Clos de la Soucherie,93,36.0,Loire Valley,Coteaux du Layon Beaulieu,New York Other,Roger Voss,@vossroger,Château Pierre-Bise 2011 Clos de la Soucherie Chenin Blanc (Coteaux du Layon Beaulieu),Chenin Blanc,Château Pierre-Bise
1676,Spain,"This is stewy smelling, with tomato leaf and raisiny notes. It feels dense and mature, with mild acidity creating jammy raspberry and plum flavors along with a lot of barrel spice. The oak flavor is dominant on the finish.",Deyo,86,18.0,Northern Spain,Navarra,New York Other,Michael Schachner,@wineschach,Castillo de Monjardin 2007 Deyo Merlot (Navarra),Merlot,Castillo de Monjardin
1683,France,This 100% Pinot Gris wine has a light-pink color. With its soft ripe red-berry fruitiness it is crisp and clean. There is a touch of spice from these pale-pink-skinned grapes which are more often used to make white wine.,Les Milets,85,20.0,Loire Valley,Reuilly,Napa-Sonoma,Roger Voss,@vossroger,Joseph Mellot 2016 Les Milets Rosé (Reuilly),Rosé,Joseph Mellot
1712,France,"This is pure mineral, chalk and lean austerity initially, but opens up with apples,  lime and green plums. It is intense, concentrated and structured; needs time. Wait 4–5 years.",Domaine Long-Depaquit Les Clos Grand Cru,93,65.0,Burgundy,Chablis,Long Island,Roger Voss,@vossroger,Albert Bichot 2005 Domaine Long-Depaquit Les Clos Grand Cru  (Chablis),Chardonnay,Albert Bichot
1744,US,"A relative reserve in terms of flavor is the defining characteristic of this dry but rich, medium-bodied wine that blends Marsanne and Roussanne grapes. The aromas are like fresh-baked bread, while flavors are gentle but creamy and savory, and the texture is soft and smooth. All lead to a lingering finish.",Gypsy Blanc,89,28.0,California,Lake County,Willamette Valley,Jim Gordon,@gordone_cellars,Sol Rouge 2013 Gypsy Blanc Marsanne-Roussanne (Lake County),Marsanne-Roussanne,Sol Rouge
1774,Austria,"The lightest in a range of Grüner Veltliner from Hans Setzer. This is a green apple and grapefruit flavored wine, all lightness, freshness and crispness. There is a green plum skin tang to it, added to citrus.",Vesper,85,20.0,Niederösterreich,,North Coast,Roger Voss,@vossroger,Setzer 2007 Vesper Grüner Veltliner (Niederösterreich),Grüner Veltliner,Setzer
1805,France,"This is big Fleurie, dominated by floral aromas and dry tannins at this stage, and therefore likely to develop for a year or two. The fruits are dark plum, full in the mouth. The acidity offers freshness but also adds to the weight of the texture.",Château des Moriers,90,17.0,Beaujolais,Fleurie,Columbia Valley,Roger Voss,@vossroger,Signé Vigneron 2008 Château des Moriers  (Fleurie),Gamay,Signé Vigneron
1853,Italy,"Earthy and rusty in color, but liquid gold in the mouth. It's round, complete and subtle. The dry red fruit is touched up by accents of root beer, smoke and brown sugar. When drinking, a vise grip of tannins clamp down. That said, maturity seems in sight.  Start drinking in 2005.",,92,,Tuscany,Brunello di Montalcino,Columbia Valley,Michael Schachner,@wineschach,La Serena 1999  Brunello di Montalcino,Sangiovese,La Serena
1888,France,"A fascinating blend of Petit Courbu and Petit Manseng this dry wine delivers honey, spice and ripe fruits. Apricots and freshly sliced pears give the wine a rich, generous feel. It comes from a parcel in the Château Bouscassé estate better known for its Madiran red wine. Drink this beautiful wine now.",Les Jardins de Bouscassé,90,15.0,Southwest France,Pacherenc du Vic Bilh,Willamette Valley,Roger Voss,@vossroger,Alain Brumont 2011 Les Jardins de Bouscassé  (Pacherenc du Vic Bilh),White Blend,Alain Brumont
1907,Italy,"This offers subdued aromas suggesting pear, acacia, sage and hazelnut that carry onto the ripe palate along with yellow peach. Bitter almond marks the finish.",Sette Note Secco,87,13.0,Central Italy,Romagna,Long Island,Kerin O’Keefe,@kerinokeefe,Morini 2015 Sette Note Secco Albana (Romagna),Albana,Morini
1978,Italy,"This opens with pretty fruit tones of cherry and blackberry, with subtle tones of spice and rum cake in the background.",,87,16.0,Sicily & Sardinia,Sicilia,Oregon Other,,,Colosi 2011 Nero d'Avola (Sicilia),Nero d'Avola,Colosi
2013,US,"Knowing only time in stainless steel, this light, clear white is zingy in grapefruit, wet stone and melon, its texture and body crisp and focused. The price for this quality is hard to beat.",Y3,90,16.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Jax 2015 Y3 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Jax
2073,US,"Somewhat volatile aromas suggest stems and a bit of nail polish before the herbal fruit surfaces. This chewy, tannic wine does not live up to its single vineyard promise.",Pataccoli Family Vineyard,88,35.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Redhawk 2010 Pataccoli Family Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Redhawk
2129,US,"Lush aromas of black cherry, vanilla, kola nut and blackberry fudge pack lots of action into this bottling. The palate confirms the complexity, with blueberry and black cherry backed by pipe tobacco, dried marjoram and a pencil lead-driven structure.",,88,9.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Outlander 2013 Meritage (Paso Robles),Meritage,Outlander
2206,US,"Hits the popular Chardonnay sweet spot right down the middle, with honey, orange, apricot and oak flavors, with a creamy, buttery mouthfeel.",Estate,85,26.0,California,Paso Robles,Central Coast,,,Midnight 2011 Estate Chardonnay (Paso Robles),Chardonnay,Midnight
2330,Austria,"Light and crisp, this has clean pear and grapefruit flavors. With its enticing acidity, this is a great summer quaff. Screwcap.",Lois,87,16.0,Niederösterreich,,New York Other,Roger Voss,@vossroger,Loimer 2011 Lois Grüner Veltliner (Niederösterreich),Grüner Veltliner,Loimer
2366,US,"Earth, mud and wet clay are laid against a ripe black raspberry frame on this bottling from winemaker Larry Brooks. Plenty of life, zest and lift enliven the beautifully spiced palate, with bright red cherries, cranberries and purple flowers cut by a line of pencil-lead minerality and a savory fennel element.",Marley Anne,93,65.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2012 Marley Anne Pinot Noir (Edna Valley),Pinot Noir,Tolosa
2368,France,"The entry-level wine at Roubine, this offers so much attractive, lighthearted fruit. It is crisp, packed with tight acidity and red currant flavors. It has a light, bright, deliciously perfumed aftertaste.",R de Roubine,87,15.0,Provence,Côtes de Provence,Long Island,Roger Voss,@vossroger,Château Roubine 2015 R de Roubine Rosé (Côtes de Provence),Rosé,Château Roubine
2403,US,"Exotic hints of dill and clove open on the nose in this elegantly robust wine, which finds a balance in its brightness of red cherry and red currant. Generous tannin takes on a leathery feel on the palate, finding a softness that lingers on the finish.",Private Reserve Oakville Station,91,129.0,California,Oakville,Napa,Virginie Boone,@vboone,Spoto 2013 Private Reserve Oakville Station Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Spoto
2405,France,"An intriguing wine, that offers ripe sweetness followed by an edgy rustic acidity. Is this a stage in its evolution? Probably, because the tannins promise aging and the intensely aromatic nature of the fruit points to a potentially fine wine. Just don't drink it yet.",Clos de la Mousse Premier Cru,89,55.0,Burgundy,Beaune,Southern Oregon,Roger Voss,@vossroger,Bouchard Père & Fils 2006 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils
2518,Mexico,"The color is appropriately light, the aromas appropriately floral and rose-like. Fleshy cherry flavors are balanced by a helping of greens and flowers. Light and elegant. Who would've thought Nebbiolo like this could come from Mexico?",Private Reserve,88,18.0,Valle de Guadalupe,,New York Other,,,L.A. Cetto 1996 Private Reserve Nebbiolo (Valle de Guadalupe),Nebbiolo,L.A. Cetto
2576,Georgia,"A blend of Rkatsiteli and Mtsvane, this light-straw-colored wine has aromas of peach and freesia. It is very soft on the palate, with refreshing flavors of melon, clementine and passion fruit. The citrus finish offers a surprising touch of white chocolate.",Tsinandali,88,13.0,Kakheti,,Washington Other,Mike DeSimone,@worldwineguys,Shumi Winery 2013 Tsinandali White (Kakheti),White Blend,Shumi Winery
2765,US,"Soft, sunny acidity and luscious mouthfeel give this Chardonnay an overall plushness. The palate is marked by creamy peach and apple flavors accented by delicate wisps of vanilla and spice. While straightforward in style, it's supple and pleasing.",,87,13.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lamoreaux Landing 2013 Chardonnay (Finger Lakes),Chardonnay,Lamoreaux Landing
2844,France,"Particularly rich, this is full of red fruit and offers a generous texture. The attractive pale pink color is followed by a crisp fruitiness and a floral character that gives an aromatic as well as full-bodied feeling. Balanced and fruity, it should stay in the bottle until 2016.",Brut Rosé,88,52.0,Champagne,Champagne,Columbia Valley,Roger Voss,@vossroger,Boizel NV Brut Rosé  (Champagne),Champagne Blend,Boizel
2873,Italy,"You'll enjoy the elegance and refined nature of this Barolo from the Serralunga d'Alba municipality. Bright aromas of cherry, vanilla, cola and ginger are carefully woven into the wine's bouquet and the mouthfeel is characterized by long, drying mineral notes.",Cerrati Vigna Cucco,92,,Piedmont,Barolo,Columbia Valley,,,Cascina Cucco 2006 Cerrati Vigna Cucco  (Barolo),Nebbiolo,Cascina Cucco
2885,Italy,"This opens with pretty aromas suggesting perfumed berry, leather, violet and menthol. The soft, accessible palate offers crushed black cherry and licorice framed in supple tannins. It isn't complex, but it is delicious and already approachable.",Masseria,90,210.0,Piedmont,Barbaresco,Long Island,Kerin O’Keefe,@kerinokeefe,Vietti 2012 Masseria  (Barbaresco),Nebbiolo,Vietti
2912,Argentina,"While Argentine Malbecs aren't textbook cellaring wines, this one has enough spirit, tannin and structure to benefit from a few years on its side. Now, it's lush on the nose, with ripe berry, pencil eraser, vanilla and marzipan aromas. The palate is chewy but well built, with dense blackberry, cassis, coconut and chocolate flavors. On the finish, things only intensify. Will be at its best around 2015–2016.",Gran Las Divas Vineyard,93,32.0,Mendoza Province,Tupungato,Oregon Other,Michael Schachner,@wineschach,Riglos 2010 Gran Las Divas Vineyard Malbec (Tupungato),Malbec,Riglos
2961,France,"Smoke, egg yolk and pear make for an unlikely but inviting nose. The palate is characterized by fresh, clean and almost tart apple notes that give great freshness. This is very appetizing and echoes beautifully.",Trois Chateaux,89,29.0,Alsace,Alsace,Napa,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2014 Trois Chateaux Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
2973,Italy,"This Amarone shows nearly overripe black fruit aromas, with just a hint of nail polish remover. The palate is better, delivering mature black cherry flavors accented by fennel, hay and raisin notes. Best to drink this soon.",Postera,87,40.0,Veneto,Amarone della Valpolicella Classico,Sierra Foothills,Kerin O’Keefe,@kerinokeefe,Manara 2008 Postera  (Amarone della Valpolicella Classico),Red Blend,Manara
2976,France,"Broad and generous, this has ample white fruits and attractive, balancing acids. It already has richness and a pure fruit character, with a firm, pear-skin-like structure and acidity on the finish. Age the for 3–4 years.",Montmains Premier Cru,88,,Burgundy,Chablis,Finger Lakes,Roger Voss,@vossroger,Pascal Bouchard 2010 Montmains Premier Cru  (Chablis),Chardonnay,Pascal Bouchard
3000,France,"A solid wine with firm tannins, this has structure as well as black-currant acidity. It still has a dry core although this will certainly soften over the next few months. It has the potential to be a ripe fruity wine from early 2018.",Bordeaux By Boyd-Cantenac,88,15.0,Bordeaux,Bordeaux,Central Valley,Roger Voss,@vossroger,Maison Bouey 2015 Bordeaux By Boyd-Cantenac  (Bordeaux),Bordeaux-style Red Blend,Maison Bouey
3028,US,"Charming aromas of tobacco leaf and strawberries promise good things to come but the palate does not follow through. While some boysenberry flavors appeal, the wine is thin in the mouth. The tannins are a bit overly gripping now but the wine does not have the fruit ripeness or concentration to benefit from cellaring.",Reserve,80,42.0,New York,Finger Lakes,Finger Lakes,,,Catharine Valley 2005 Reserve Cabernet Franc (Finger Lakes),Cabernet Franc,Catharine Valley
3051,Austria,"Sämling and Scheurebe are two names for the same grape, a cross between Riesling and Sylvaner. With rich apricot fruit, this has a Viognier quality, but with crisper acidity. It is pure, fruity and fragrant, with just a touch of mineral-like texture on the finish.",Sämling 88 Leicht & Fruchtig,87,17.0,Niederösterreich,,Willamette Valley,Roger Voss,@vossroger,Pratsch 2011 Sämling 88 Leicht & Fruchtig Scheurebe (Niederösterreich),Scheurebe,Pratsch
3066,US,"The tannins give this wine a lockdown feeling, making it hard and astringent. But the fruit is strong and jammy, suggesting raspberries, cherries and blackberries. Made from Syrah, Cabernet Sauvignon and Merlot, it's forward and one-dimensional now, but delicious, and unlikely to improve with age.",Voyage Vacation,88,40.0,California,Paso Robles,Central Coast,,,Bon Niche 2010 Voyage Vacation Red (Paso Robles),Red Blend,Bon Niche
3179,Germany,"The nose of this Lemberger is austere, with just a whisper of black plum and sweet spice. The palate is more buoyant, with a rich, deep, black cherry-and-plum profile marked by reverberating acidity and layers of fine, velvety tannins.",Schwaigerner Ruthe,87,51.0,Württemberg,,Central Coast,Anna Lee C. Iijima,,Grafen Neipperg 2009 Schwaigerner Ruthe Lemberger (Württemberg),Lemberger,Grafen Neipperg
3180,US,"Hints of smoke and toast add warmth to the fresh pear and blossom aromas. An easy-drinking blend of stainless-steel- and barrel-fermented wine, it's bright with fresh fruit, but it's lusciously textured on the palate.",,86,12.0,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,,Hosmer 2011 Chardonnay (Cayuga Lake),Chardonnay,Hosmer
3246,Italy,"Made with organically grown grapes, this opens with aromas of dark berry, violet, truffle and leather. The round chewy palate offers juicy black cherry, cinnamon and a balsamic note alongside soft acidity and supple tannins.",Riserva,90,,Tuscany,Montecucco,Napa,Kerin O’Keefe,@kerinokeefe,Campinuovi 2012 Riserva  (Montecucco),Sangiovese,Campinuovi
3304,France,"This is a soft wine, ripe with apricot and melon flavors. It shows the warmth of the vintage, round and gently fruity. Almonds and a tangy aftertaste give a crisp finish.",Laurent Dufouleur Cuvée Eléonore,86,30.0,Burgundy,Bourgogne,Oregon Other,Roger Voss,@vossroger,L. Tramier & Fils 2015 Laurent Dufouleur Cuvée Eléonore  (Bourgogne),Chardonnay,L. Tramier & Fils
3373,Portugal,The Cabernet Sauvignon structure shows strongly in this firm wine. Mint and black currant flavors are dense and concentrated. The tannins give a dry character to the wine that contrasts with its fruitiness. Drink from 2017.,Reserva,88,9.0,Península de Setúbal,,Napa-Sonoma,Roger Voss,@vossroger,Casa Ermelinda Freitas 2013 Reserva Cabernet Sauvignon (Península de Setúbal),Cabernet Sauvignon,Casa Ermelinda Freitas
3409,US,"The 2010 BlackJack is loaded with tart cranberry and pomegranate fruit flavors. There is a streak of iron and darker notes that come through in earthy, slighted roasted tannins. The complexity is intriguing and adds depth to a rather light vintage.",Estate BlackJack,90,55.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,David Hill 2010 Estate BlackJack Pinot Noir (Willamette Valley),Pinot Noir,David Hill
3439,US,"Dark, rich and full bodied, this wine has great structure and bold, tasty flavors like boysenberry and blackberry. It feels firm and tannic on the palate, but without overdoing it. Generous fruit flavors linger on the finish.",Small Lot Blend,90,14.0,California,Mendocino County,Finger Lakes,Jim Gordon,@gordone_cellars,Parducci 2013 Small Lot Blend Petite Sirah (Mendocino County),Petite Sirah,Parducci
3477,Italy,"Clean and crisp with mineral nuances backed by peach and passion fruit, this white Lacryma Christi has all the right qualities to pair with finger foods and salads. The wine is lightweight and lean but tonic and firm at the same time.",,85,19.0,Southern Italy,Lacryma Christi del Vesuvio,Washington Other,,,Mastroberardino 2007 White (Lacryma Christi del Vesuvio),White Blend,Mastroberardino
3484,Spain,"Aromas of brick dust and chocolaty oak are lacking in fruit. This feels resiny and sticky, while the flavor profile matches the nose, meaning it's largely fruitless, with a heavy slathering of milk chocolate.",Reserva 5 Years,84,12.0,Central Spain,Valdepeñas,Oregon Other,Michael Schachner,@wineschach,Anciano 2009 Reserva 5 Years Tempranillo (Valdepeñas),Tempranillo,Anciano
3540,France,"As so often results from this vineyard, this is a lovely wine, the fruit ripe and showing considerable sweetness as well as richness. The structure is soft, open and elegant, surrounding the core of sweet tannins. Not for long-term aging, but worth waiting 4–5 years.",Les Amoureuses Premier Cru,93,,Burgundy,Chambolle-Musigny,Willamette Valley,Roger Voss,@vossroger,Albert Bichot 2008 Les Amoureuses Premier Cru  (Chambolle-Musigny),Pinot Noir,Albert Bichot
3551,US,"Though the flavors are one dimensional, they are substantial, with a mix of plum and black-cherry fruit at the center. There are strong streaks of citrus and soil, with astringent tannins and acids that stick out with a somewhat chalky, citrus character.",Reserve,86,48.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Weisinger 2013 Reserve Cabernet Sauvignon (Rogue Valley),Cabernet Sauvignon,Weisinger
3641,US,"This is Clos Pegase's estate vineyard on the Napa side of Carneros, and it has a consistent track record of producing delicious Pinot Noirs most of the time. The 2006 is classic, a silky, elegant wine. Although it's a little light-bodied, it brims with savory cherry, currant, cranberry, licorice, smoky oak and cinnamon spice flavors.",Mitsuko's Vineyard,90,35.0,California,Carneros,Napa-Sonoma,,,Clos Pegase 2006 Mitsuko's Vineyard Pinot Noir (Carneros),Pinot Noir,Clos Pegase
3666,Australia,"Nicely made in a cool-climate style, this medium-bodied Shiraz offers hints of pepper and clove alongside crisp, sour plum fruit. Charming spice shadings line the long, mouthwatering finish.",Omrah,87,18.0,Western Australia,Western Australia,Napa,Joe Czerwinski,@JoeCz,Plantagenet 2005 Omrah Shiraz (Western Australia),Shiraz,Plantagenet
3730,Portugal,"Just as the wine's label suggests, this is a wine born under the sun. It is full and rich in superripe fruit tempered by ample acidity. Wood aging gives spice and a slightly burnt character that needs more time to fully integrate. The finish remains ripe, spicy and full of great acidity; hold until 2016.",Esporão Reserva,90,19.0,Alentejo,,California Other,Roger Voss,@vossroger,Herdade do Esporão 2013 Esporão Reserva White (Alentejo),Portuguese White,Herdade do Esporão
